Country,longitude,latitude,Count
Algeria,1.659626,28.033886,1
Argentina,-63.616672,-38.416097,5
Australia,"133.775136	","-25.274398	",44
Austria,14.550072,47.516231,12
Belgium,"	4.469936",50.503887,3
Brazil,-51.92528,"-14.235004	",65
Canada,"	-106.346771",56.130366,64
Chile,"	-71.542969","-35.675147	",9
China,104.195397,"	35.86166",626
Colombia,-74.297333,"4.570868	",5
Cyprus,"33.429859	","35.126413	",5
Czechia,"15.472962	","49.817492	",9
Denmark,"9.501785	","56.26392	",10
Egypt,30.802498,"26.820553	",6
Swaziland,"31.465866	","-26.522503	",1
Finland,25.748151,"61.92411	",7
France,"2.213749	","46.227638	",42
Georgia,"43.356892	","42.315407	",2
Germany,"10.451526	","51.165691	",136
Greece,21.824312,"39.074208	",4
Guernsey,"-2.585278	","49.465691	",1
Hong Kong,"114.109497	",22.396428,71
Hungary,19.503304,47.162494,2
Iceland,"-19.020835	","64.963051	",2
India,78.96288,"20.593684	",140
Indonesia,113.921327,"-0.789275	",21
Ireland,"-8.24389	",53.41291,9
Israel,34.851612,"31.046051	",24
Italy,12.56738,41.87194,51
Japan,138.252924,36.204824,49
Kazakhstan,66.923684,"48.019573	",5
Lebanon,35.862285,33.854721,6
Liechtenstein,9.555373,47.166,1
Macao,113.543873,22.198745,1
Malaysia,101.975766,4.210484,17
Mexico,"-102.552784	","23.634501	",13
Monaco,"7.412841	",43.750298,3
Morocco,"-7.09262	",31.791702,2
Nepal,84.124008,28.394857,1
Netherlands,5.291266,"52.132633	",12
New Zealand,174.885971,"-40.900557	",2
Nigeria,8.675277,9.081999,3
Norway,8.468946,"60.472024	",12
Oman,55.923255,21.512583,1
Peru,"-75.015152	","-9.189967	",6
Philippines,"121.774017	",12.879721,17
Poland,"19.145136	",51.919438,8
Portugal,"-8.224454	",39.399872,2
Qatar,"51.183884	","25.354826	",2
Romania,"24.96676	","45.943161	",2
Russia,105.318756,61.52401,118
Singapore,103.819836,1.352083,27
Slovakia,19.699024,48.669026,2
South Africa,22.937506,"-30.559482	",5
South Korea,127.766922,35.907757,43
Spain,"-3.74922	",40.463667,30
St. Kitts and Nevis,"-62.782998	","17.357822	",1
Sweden,"18.643501	",60.128161,41
Switzerland,8.227512,"46.818188	",40
Taiwan,120.960515,23.69781,47
Tanzania,34.888822,"-6.369028	",1
Thailand,100.992541,15.870032,31
Turkey,"35.243322	",38.963745,27
Ukraine,31.16558,48.379433,7
United Arab Emirates,53.847818,23.424076,4
United Kingdom,"-3.435973	",55.378051,56
United States,"-95.712891	",37.09024,724
Venezuela,"-66.58973	",6.42375,1
Vietnam,108.277199,14.058324,6
Zimbabwe,29.154857,"-19.015438	",1
