Name,NetWorth,Country,Continent,Source,Continent_Rank,Rank,Age Range,Industry,,Age
A. Jayson Adair,1,United States,,damaged cars,,2674,50,Automotive,,51
Abdulla Al Futtaim & family,2.2,United Arab Emirates,,"auto dealers, investments",,1444,N/A,Automotive,,N/A
Abdulla bin Ahmad Al Ghurair & family,2.8,United Arab Emirates,,diversified,,1111,N/A,Diversified,,N/A
Abdulsamad Rabiu,4.9,Nigeria,Africa,"cement, sugar",6,574,60,Diversified,,60
Abhay Firodia,2.4,India,,automobiles,,1299,70,Automotive,,76
Abhay Vakil & family,4.6,India,,paints,,622,70,Manufacturing,,70
Abigail Johnson,20.9,United States,,money management,,85,50,Finance & Investments,,59
Abilio dos Santos Diniz,2.6,Brazil,,retail,,1205,80,Fashion & Retail,,84
Achal Bakeri,1.3,India,,air coolers,,2263,60,Manufacturing,,61
Acharya Balkrishna,2.2,India,,consumer goods,,1444,40,Food & Beverage,,48
Adam Kwok,2.6,Hong Kong,,real estate,,1205,30,Real Estate,,38
Adi Godrej,2.4,India,,consumer goods,,1299,70,Diversified,,79
Aerin Lauder,3.8,United States,,cosmetics,,775,50,Fashion & Retail,,50
Agnete Kirk Thinggaard,8.7,Denmark,,Lego,,274,30,Manufacturing,,37
Ahmet Calik,1.5,Turkey,,"energy, banking, construction",,2035,60,Diversified,,63
Ahmet Nazif Zorlu,1.1,Turkey,,diversified,,2524,70,Diversified,,76
Airat Shaimiev,1.4,Russia,,"refinery, chemicals",,2141,50,Energy,,59
Ajay Parekh,1.6,India,,adhesives,,1931,60,Manufacturing,,63
Ajay Piramal,4,India,,pharmaceuticals,,727,60,Healthcare,,65
Akio Nitori,5.2,Japan,,home furnishings,,539,70,Fashion & Retail,,77
Akira Mori & family,4,Japan,,real estate,,727,80,Real Estate,,84
Alain Bouchard,4.2,Canada,,retail,,680,70,Fashion & Retail,,72
Alain Merieux & family,8.2,France,,pharmaceuticals,,304,80,Healthcare,,83
Alain Taravella,2,France,,real estate development,,1580,70,Real Estate,,73
Alain Wertheimer,34.5,France,Europe,Chanel,8,41,70,Fashion & Retail,,72
Alan Gerry,1.5,United States,,cable television,,2035,90,Media & Entertainment,,92
Alan Howard,2.8,United Kingdom,,hedge funds,,1111,50,Finance & Investments,,57
Alan Miller & family,1.3,United States,,healthcare services,,2263,80,Healthcare,,83
Alan Rydge,1,Australia,,entertainment,,2674,60,Media & Entertainment,,68
Alan Trefler,4.8,United States,,software,,589,60,Technology,,65
Alan Zekelman,1.2,Canada,,steel,,2378,50,Manufacturing,,58
Albert Avdolyan,1,Russia,,"oil, mining",,2674,50,Energy,,50
Albert Shigaboutdinov,1.2,Russia,,"refinery, chemicals",,2378,60,Diversified,,68
Alberto Alcocer,1.4,Spain,,investments,,2141,70,Finance & Investments,,78
Alberto Bailleres Gonzalez & family,9.2,Mexico,,mining,,255,80,Metals & Mining,,89
Alberto Bombassei,2.4,Italy,,automotive brakes,,1299,80,Automotive,,80
Alberto Cortina,1.5,Spain,,investments,,2035,70,Finance & Investments,,75
Alberto Palatchi,1.5,Spain,,wedding dresses,,2035,70,Fashion & Retail,,71
Alberto Prada,2,Italy,,luxury goods,,1580,60,Fashion & Retail,,67
Alberto Roemmers,2.2,Argentina,,pharmaceuticals,,1444,90,Healthcare,,94
Alberto Siccardi & family,2.2,Switzerland,,medical devices,,1444,70,Healthcare,,76
Alceu Elias Feldmann,5.4,Brazil,,fertilizer,,520,70,Energy,,71
Alec Gores,3,United States,,private equity,,1008,60,Finance & Investments,,68
Alejandro Bulgheroni,3.3,Argentina,,oil & gas,,925,70,Energy,,76
Alejandro Santo Domingo,2.9,United States,,beer,,1064,40,Food & Beverage,,44
Alessandra Garavoglia,3.5,Italy,,spirits,,859,60,Food & Beverage,,61
Alex Beard,1.5,United Kingdom,,"mining, commodities",,2035,50,Metals & Mining,,53
Alex Birkenstock,1.7,Germany,,shoes,,1833,50,Fashion & Retail,,52
Alexander Abramov,7.6,Russia,,"steel, mining",,327,60,Metals & Mining,,62
Alexander Frolov,3.4,Russia,,"mining, steel",,891,50,Metals & Mining,,56
Alexander Karp,2.1,United States,,software firm,,1517,50,Technology,,53
Alexander Klyachin,1.6,Russia,,real estate,,1931,50,Real Estate,,53
Alexander Knauf,1.1,Germany,,building materials,,2524,40,Manufacturing,,46
Alexander Lutsenko & family,1.2,Russia,,agribusiness,,2378,50,Food & Beverage,,59
Alexander Mamut,2.3,Russia,,investments,,1362,60,Finance & Investments,,61
Alexander Nesis,2.9,Russia,,"metals, banking, fertilizers",,1064,50,Finance & Investments,,58
Alexander Otto,11.8,Germany,,real estate,,186,50,Real Estate,,53
Alexander Ponomarenko,2.9,Russia,,"real estate, airport",,1064,50,Logistics,,56
Alexander Samwer,1.2,Germany,,tech investments,,2378,40,Technology,,46
Alexander Skorobogatko,2.9,Russia,,"real estate, airport",,1064,50,Logistics,,53
Alexander Svetakov,2,Russia,,real estate,,1580,50,Finance & Investments,,53
Alexander Tedja,1.4,Indonesia,,real estate,,2141,70,Real Estate,,75
Alexandra Andresen,1.4,Norway,,investments,,2141,20,Diversified,,24
Alexandra Daitch,1.7,United States,,Cargill,,1833,50,Food & Beverage,,58
Alexandra Schoerghuber,5.5,Germany,,real estate,,502,60,Real Estate,,62
Alexandre Behring,7,Brazil,South America,investments,9,369,50,Finance & Investments,,54
